Id,SalePrice
1461,110993.36
1462,134915.34
1463,179634.33
1464,179167.94
1465,190023.75
1466,186674.4
1467,168789.95
1468,183258.2
1469,194034.03
1470,116147.67
1471,179075.36
1472,94044.45
1473,93432.625
1474,151988.84
1475,135915.16
1476,398529.72
1477,269760.3
1478,327145.47
1479,323999.9
1480,426109.62
1481,303408.16
1482,221681.75
1483,191442.73
1484,169777.16
1485,159274.44
1486,209032.31
1487,379130.0
1488,247017.25
1489,205029.73
1490,204580.31
1491,180403.8
1492,99281.3
1493,180138.7
1494,301632.12
1495,266499.8
1496,223911.25
1497,191992.89
1498,148346.31
1499,147593.89
1500,147133.77
1501,168614.11
1502,155930.36
1503,322225.9
1504,208657.08
1505,224411.9
1506,176624.86
1507,269622.97
1508,195199.61
1509,169680.53
1510,154081.23
1511,165330.73
1512,163271.08
1513,160426.0
1514,163746.05
1515,223399.97
1516,153100.88
1517,150671.36
1518,121488.49
1519,219218.64
1520,135766.42
1521,144939.86
1522,172608.39
1523,128989.05
1524,122626.8
1525,119027.29
1526,120671.08
1527,108192.586
1528,137622.75
1529,153232.05
1530,143753.8
1531,106502.62
1532,97308.86
1533,143763.39
1534,124029.57
1535,144304.05
1536,107674.32
1537,70675.85
1538,155405.86
1539,168955.52
1540,122763.93
1541,159169.2
1542,132529.36
1543,258362.8
1544,72326.836
1545,89968.87
1546,106242.516
1547,110022.31
1548,120328.97
1549,106565.61
1550,135112.86
1551,124235.086
1552,148425.56
1553,129176.9
1554,131484.84
1555,177376.19
1556,121225.89
1557,118755.055
1558,82700.02
1559,74491.055
1560,129508.09
1561,123233.836
1562,126273.73
1563,112929.45
1564,164522.9
1565,144510.89
1566,207292.31
1567,84964.51
1568,209982.17
1569,97473.53
1570,127631.41
1571,134377.95
1572,148860.05
1573,217202.14
1574,159698.64
1575,206435.72
1576,234402.22
1577,200253.11
1578,130435.24
1579,149556.86
1580,194238.06
1581,143798.9
1582,131864.45
1583,321112.66
1584,248438.06
1585,142604.36
1586,76997.91
1587,102922.04
1588,142370.22
1589,105551.836
1590,130130.71
1591,106988.31
1592,118353.12
1593,101349.19
1594,115654.81
1595,117505.8
1596,278732.22
1597,189239.78
1598,184098.14
1599,184373.11
1600,209331.16
1601,64684.703
1602,109404.99
